Season,Episode,Character,Appearance_Type
4,I Take Thee Quagmire,Ricky,Also Appearing
4,Sibling Rivalry,Meg Griffin,Also Appearing
4,Sibling Rivalry,Chris Griffin,Also Appearing
4,Sibling Rivalry,Brian Griffin,Also Appearing
4,Sibling Rivalry,Cleveland Brown,Also Appearing
4,Sibling Rivalry,Joe Swanson,Also Appearing
4,Sibling Rivalry,Quagmire,Also Appearing
4,Sibling Rivalry,Barbershop Quartet,Also Appearing
4,Sibling Rivalry,Elwood Blues,Also Appearing
4,Sibling Rivalry,Christopher Moltisanti,Also Appearing
4,Sibling Rivalry,Santa Claus,Also Appearing
4,Sibling Rivalry,Seamus,Also Appearing
4,Sibling Rivalry,Tony Danza,Also Appearing
4,Sibling Rivalry,Sylvester Stallone,Also Appearing
4,Sibling Rivalry,Lee Harvey Oswald,Also Appearing
4,Sibling Rivalry,Scrat,Also Appearing
4,Sibling Rivalry,Sauron,Also Appearing
4,Sibling Rivalry,B.C.,Also Appearing
4,Deep Throats,Chris Griffin,Also Appearing
4,Deep Throats,Cleveland Brown,Also Appearing
4,Deep Throats,Seamus,Also Appearing
4,Deep Throats,Tom Tucker,Also Appearing
4,Deep Throats,Diane Simmons,Also Appearing
4,Deep Throats,Quagmire,Also Appearing
4,Deep Throats,Bruce,Also Appearing
4,Deep Throats,Carl,Also Appearing
4,Deep Throats,Todd Griffin,Also Appearing
4,Deep Throats,Chuck,Also Appearing
4,Deep Throats,Morty,Also Appearing
4,Deep Throats,Oprah Winfrey,Also Appearing
4,Deep Throats,Vern and Johnny,Also Appearing
4,Deep Throats,Noid,Also Appearing
4,Deep Throats,Kermit the Frog,Also Appearing
4,Deep Throats,Kate Jackson,Also Appearing
4,Deep Throats,The Phantom of the Opera,Also Appearing
4,Deep Throats,Christine Daaé,Also Appearing
4,Deep Throats,Uncle Sam,Also Appearing
4,Deep Throats,Jessica Alba Uncensored version: Fred,Also Appearing
4,Deep Throats,Daphne,Also Appearing
4,Deep Throats,Velma,Also Appearing
4,Deep Throats,Shaggy,Also Appearing
4,Deep Throats,Scooby-Doo,Also Appearing
4,Peterotica,Lois Griffin,Also Appearing
4,Peterotica,Meg Griffin,Also Appearing
4,Peterotica,Chris Griffin,Also Appearing
4,Peterotica,Stewie Griffin,Also Appearing
4,Peterotica,Brian Griffin,Also Appearing
4,Peterotica,Quagmire,Also Appearing
4,Peterotica,Cleveland Brown,Also Appearing
4,Peterotica,Joe Swanson,Also Appearing
4,Peterotica,Barbara Pewterschmidt,Also Appearing
4,Peterotica,Ted Turner,Also Appearing
4,Peterotica,Armando,Also Appearing
4,Peterotica,Kool-Aid Man,Also Appearing
4,Peterotica,Jude Law,Also Appearing
4,Peterotica,Renée Zellweger,Also Appearing
4,Peterotica,Rancor,Also Appearing
4,Peterotica,Julia Roberts,Also Appearing
4,Peterotica,Carol Burnett,Also Appearing
4,Peterotica,Scott Greenberg,Also Appearing
4,Peterotica,Betty White,Also Appearing
4,Peterotica,Harry Potter,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Peter Griffin,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Lois Griffin,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Stewie Griffin,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Meg Griffin,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Quagmire,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Cleveland Brown,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Bernice,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Joe Swanson,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Rupert,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Carter Pewterschmidt,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Barbara Pewterschmidt,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Francis Griffin,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Thelma Griffin,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Mort Goldman,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Muriel Goldman,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Tom Tucker,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Diane Simmons,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,James William Bottomtooth III,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Dig 'Em,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Noah,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Herbert,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Popeye,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Moby Dick,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Bill Clinton,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Luke Skywalker,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Han Solo,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Matthew McConaughey,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,The Proclaimers,Also Appearing
4,You May Now Kiss the... Uh... Guy Who Receives,Ed & Elizabeth Smart,Also Appearing
4,Petergeist,Meg Griffin,Also Appearing
4,Petergeist,Chris Griffin,Also Appearing
4,Petergeist,Stewie Griffin,Also Appearing
4,Petergeist,Brian Griffin,Also Appearing
4,Petergeist,Cleveland Brown,Also Appearing
4,Petergeist,Joe Swanson,Also Appearing
4,Petergeist,Quagmire,Also Appearing
4,Petergeist,Mort Goldman,Also Appearing
4,Petergeist,Muriel Goldman,Also Appearing
4,Petergeist,Bruce,Also Appearing
4,Petergeist,Tom Tucker,Also Appearing
4,Petergeist,Diane Simmons,Also Appearing
4,Petergeist,Mayor Adam West,Also Appearing
4,Petergeist,Herbert,Also Appearing
4,Petergeist,Carrot Top,Also Appearing
4,Petergeist,Don Knotts,Also Appearing
4,Petergeist,Dick Cheney,Also Appearing
4,Petergeist,Joanna,Also Appearing
4,Petergeist,Deceased Indian Chief,Also Appearing
4,Petergeist,Bob Costas,Also Appearing
4,Petergeist,Hank Hill,Also Appearing
4,Petergeist,Statler and Waldorf,Also Appearing
4,Petergeist,John Travolta,Also Appearing
4,Petergeist,Kelly Preston,Also Appearing
4,Petergeist,Rocky Balboa,Also Appearing
4,Petergeist,Adrian Balboa,Also Appearing
4,The Griffin Family History,Lois Griffin,Also Appearing
4,The Griffin Family History,Meg Griffin,Also Appearing
4,The Griffin Family History,Chris Griffin,Also Appearing
4,The Griffin Family History,Stewie Griffin,Also Appearing
4,The Griffin Family History,Brian Griffin,Also Appearing
4,The Griffin Family History,Joe Swanson,Also Appearing
4,The Griffin Family History,God,Also Appearing
4,The Griffin Family History,Chugs,Also Appearing
4,The Griffin Family History,Ur-Peter,Also Appearing
4,The Griffin Family History,"Willie ""Black-Eye"" Griffin",Also Appearing
4,The Griffin Family History,Nate Griffin,Also Appearing
4,The Griffin Family History,Moses Griffin,Also Appearing
4,The Griffin Family History,Adolf Hitler,Also Appearing
4,The Griffin Family History,Danny Gans,Also Appearing
4,The Griffin Family History,Bruce,Also Appearing
4,The Griffin Family History,Al Cowlings,Also Appearing
4,The Griffin Family History,Cleveland Brown,Also Appearing
4,The Griffin Family History,Ali Williams,Also Appearing
4,The Griffin Family History,Tobi,Also Appearing
4,The Griffin Family History,Quagdingo,Also Appearing
4,The Griffin Family History,Joemama,Also Appearing
4,The Griffin Family History,Herpesaur (Uncensored version),Also Appearing
4,Stewie B. Goode (Part 1)[c],Lois Griffin,Also Appearing
4,Stewie B. Goode (Part 1)[c],Chris Griffin,Also Appearing
4,Stewie B. Goode (Part 1)[c],Meg Griffin,Also Appearing
4,Stewie B. Goode (Part 1)[c],Brian Griffin,Also Appearing
4,Stewie B. Goode (Part 1)[c],Ollie Williams,Also Appearing
4,Stewie B. Goode (Part 1)[c],Tom Tucker,Also Appearing
4,Stewie B. Goode (Part 1)[c],Diane Simmons,Also Appearing
4,Stewie B. Goode (Part 1)[c],Brad,Also Appearing
4,Stewie B. Goode (Part 1)[c],Quagmire,Also Appearing
4,Stewie B. Goode (Part 1)[c],Joe Swanson,Also Appearing
4,Stewie B. Goode (Part 1)[c],Cleveland Brown,Also Appearing
4,Stewie B. Goode (Part 1)[c],Horace,Also Appearing
4,Stewie B. Goode (Part 1)[c],Steve Allen,Also Appearing
4,Stewie B. Goode (Part 1)[c],Steve Bartman,Also Appearing
4,Stewie B. Goode (Part 1)[c],Moisés Alou,Also Appearing
4,Stewie B. Goode (Part 1)[c],Sarah Bennett,Also Appearing
4,Stewie B. Goode (Part 1)[c],Indiana Jones,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Peter Griffin,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Lois Griffin,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Chris Griffin,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Meg Griffin,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Jim Kaplan,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Stu Griffin,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Quagmire,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Tricia Takanawa,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Katie Couric,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Patches,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Jawas,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Al Harrington,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Bonnie Swanson,Also Appearing
4,"Bango Was His Name, Oh! (Part 2)[c]",Endo,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Peter Griffin,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Lois Griffin,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Meg/Ron Griffin,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Ron,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Chris Griffin,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Brian Griffin,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Cleveland Brown,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Quagmire,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Joe Swanson,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Vanessa Griffin,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Evan,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Shirley Blitt,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Jonny Quest,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Bono,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Hadji,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Vincent van Gogh,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Kurt Cobain,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Ernest Hemingway,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Brad,Also Appearing
4,Stu and Stewie's Excellent Adventure (Part 3)[c],Chevy Chase,Also Appearing
5,Stewie Loves Lois,Meg Griffin,Also Appearing
5,Stewie Loves Lois,Chris Griffin,Also Appearing
5,Stewie Loves Lois,Brian Griffin,Also Appearing
5,Stewie Loves Lois,Quagmire,Also Appearing
5,Stewie Loves Lois,Cleveland Brown,Also Appearing
5,Stewie Loves Lois,Joe Swanson,Also Appearing
5,Stewie Loves Lois,Mr. Sulu,Also Appearing
5,Stewie Loves Lois,Dr. McCoy,Also Appearing
5,Stewie Loves Lois,Mayor Adam West,Also Appearing
5,Stewie Loves Lois,Robin,Also Appearing
5,Stewie Loves Lois,Kermit the Frog,Also Appearing
5,Stewie Loves Lois,Seamus,Also Appearing
5,Stewie Loves Lois,Tricia Takanawa,Also Appearing
5,Stewie Loves Lois,Rupert,Also Appearing
5,Stewie Loves Lois,Judge,Also Appearing
5,Stewie Loves Lois,Jesus,Also Appearing
5,Stewie Loves Lois,Tom Tucker,Also Appearing
5,Stewie Loves Lois,Diane Simmons,Also Appearing
5,Stewie Loves Lois,Evil Monkey,Also Appearing
5,Stewie Loves Lois,Primus,Also Appearing
5,Stewie Loves Lois,Michael Jackson,Also Appearing
5,Stewie Loves Lois,Dr. Jekyll,Also Appearing
5,Mother Tucker,Lois Griffin,Also Appearing
5,Mother Tucker,Meg Griffin,Also Appearing
5,Mother Tucker,Chris Griffin,Also Appearing
5,Mother Tucker,Stewie Griffin,Also Appearing
5,Mother Tucker,Brian Griffin,Also Appearing
5,Mother Tucker,Quagmire,Also Appearing
5,Mother Tucker,Cleveland Brown,Also Appearing
5,Mother Tucker,Karen,Also Appearing
5,Mother Tucker,Carl,Also Appearing
5,Mother Tucker,Bill and Tim,Also Appearing
5,Mother Tucker,Thaddeus Griffin,Also Appearing
5,Mother Tucker,Weenie and the Butt,Also Appearing
5,Mother Tucker,Jake Tucker,Also Appearing
5,Mother Tucker,Darth Vader,Also Appearing
5,Mother Tucker,Kermit the Frog,Also Appearing
5,Mother Tucker,Fern Arable,Also Appearing
5,Mother Tucker,Charlotte,Also Appearing
5,Mother Tucker,The cast of Peanuts,Also Appearing
5,Mother Tucker,Amy Grant,Also Appearing
5,Mother Tucker,Al Michaels,Also Appearing
5,Mother Tucker,Harold Ramis,Also Appearing
5,Mother Tucker,Rachel Keller,Also Appearing
5,Mother Tucker,Kim Cattrall,Also Appearing
5,Mother Tucker,Andrew McCarthy,Also Appearing
5,Mother Tucker,Gore Vidal,Also Appearing
5,Mother Tucker,Ray Romano,Also Appearing
5,Mother Tucker,Tim McCarver,Also Appearing
5,Mother Tucker,Greta Van Susteren,Also Appearing
5,Mother Tucker,Paris Hilton,Also Appearing
5,Mother Tucker,Nicole Richie,Also Appearing
5,Mother Tucker,Kristen Bell,Also Appearing
5,Hell Comes to Quahog,Lois Griffin,Also Appearing
5,Hell Comes to Quahog,Brian Griffin,Also Appearing
5,Hell Comes to Quahog,Stewie Griffin,Also Appearing
5,Hell Comes to Quahog,Chris Griffin,Also Appearing
5,Hell Comes to Quahog,Cleveland Brown,Also Appearing
5,Hell Comes to Quahog,Joe Swanson,Also Appearing
5,Hell Comes to Quahog,Quagmire,Also Appearing
5,Hell Comes to Quahog,Paddy Tanniger,Also Appearing
5,Hell Comes to Quahog,Herbert,Also Appearing
5,Hell Comes to Quahog,Jesse,Also Appearing
5,Hell Comes to Quahog,Mort Goldman,Also Appearing
5,Hell Comes to Quahog,Jim Kaplan,Also Appearing
5,Hell Comes to Quahog,Tom Tucker,Also Appearing
5,Hell Comes to Quahog,Diane Simmons,Also Appearing
5,Hell Comes to Quahog,Ollie Williams,Also Appearing
5,Hell Comes to Quahog,Angela,Also Appearing
5,Hell Comes to Quahog,Opie,Also Appearing
5,Hell Comes to Quahog,Mr. Penisberg,Also Appearing
5,Hell Comes to Quahog,Tim,Also Appearing
5,Hell Comes to Quahog,Joanie,Also Appearing
5,Hell Comes to Quahog,Sloth,Also Appearing
5,Hell Comes to Quahog,Yogi Bear,Also Appearing
5,Hell Comes to Quahog,Boo-Boo Bear,Also Appearing
5,Hell Comes to Quahog,Iceman,Also Appearing
5,Hell Comes to Quahog,Mr. Moose,Also Appearing
5,Hell Comes to Quahog,Alex,Also Appearing
5,Hell Comes to Quahog,Gloria,Also Appearing
5,Hell Comes to Quahog,Parker Fennelly,Also Appearing
5,Hell Comes to Quahog,The cast of The Electric Company,Also Appearing
5,Hell Comes to Quahog,Tom Brokaw,Also Appearing
5,Hell Comes to Quahog,Jennifer Love Hewitt,Also Appearing
5,Hell Comes to Quahog,Bill Pullman,Also Appearing
5,Hell Comes to Quahog,Jeff Daniels,Also Appearing
5,Hell Comes to Quahog,Richard Gere,Also Appearing
5,Saving Private Brian,Meg Griffin,Also Appearing
5,Saving Private Brian,Splash Log,Also Appearing
5,Saving Private Brian,Vern and Johnny,Also Appearing
5,Saving Private Brian,Sergeant Extreme,Also Appearing
5,Saving Private Brian,Major Awesome,Also Appearing
5,Saving Private Brian,Herbert,Also Appearing
5,Saving Private Brian,Peggy,Also Appearing
5,Saving Private Brian,Marilyn Manson,Also Appearing
5,Saving Private Brian,Madonna,Also Appearing
5,Saving Private Brian,Mickey Rooney,Also Appearing
5,Saving Private Brian,Minnie Driver,Also Appearing
5,Saving Private Brian,Zinédine Zidane,Also Appearing
5,Saving Private Brian,Muddy Waters,Also Appearing
5,Saving Private Brian,Gregory Peck,Also Appearing
5,Saving Private Brian,George W. Bush,Also Appearing
5,Saving Private Brian,Dr. Katz,Also Appearing
5,Saving Private Brian,Brad Garrett,Also Appearing
5,Saving Private Brian,Ashlee Simpson,Also Appearing
5,Saving Private Brian,Will Smith,Also Appearing
5,Saving Private Brian,Bob Geldof,Also Appearing
5,Saving Private Brian,MC Hammer,Also Appearing
5,Saving Private Brian,Michael Jackson,Also Appearing
5,Saving Private Brian,Mayor Adam West,Also Appearing
5,Whistle While Your Wife Works,Meg Griffin,Also Appearing
5,Whistle While Your Wife Works,Chris Griffin,Also Appearing
5,Whistle While Your Wife Works,Opie,Also Appearing
5,Whistle While Your Wife Works,Angela,Also Appearing
5,Whistle While Your Wife Works,Quagmire,Also Appearing
5,Whistle While Your Wife Works,Cleveland Brown,Also Appearing
5,Whistle While Your Wife Works,Joe Swanson,Also Appearing
5,Whistle While Your Wife Works,Buzz Killington,Also Appearing
5,Whistle While Your Wife Works,Mr. Cohen,Also Appearing
5,Whistle While Your Wife Works,Greg,Also Appearing
5,Whistle While Your Wife Works,The Lord of Darkness,Also Appearing
5,Whistle While Your Wife Works,Danny DeVito,Also Appearing
5,Whistle While Your Wife Works,Rhea Perlman,Also Appearing
5,Prick Up Your Ears,Jillian,Also Appearing
5,Prick Up Your Ears,Mayor Adam West,Also Appearing
5,Prick Up Your Ears,Paul,Also Appearing
5,Prick Up Your Ears,Quagmire,Also Appearing
5,Prick Up Your Ears,Cleveland Brown,Also Appearing
5,Prick Up Your Ears,Rodney King,Also Appearing
5,Prick Up Your Ears,Tooth Fairy,Also Appearing
5,Prick Up Your Ears,Dr. Hartman,Also Appearing
5,Prick Up Your Ears,Rupert,Also Appearing
5,Prick Up Your Ears,Debbie,Also Appearing
5,Prick Up Your Ears,Matthew,Also Appearing
5,Prick Up Your Ears,Harry Houdini,Also Appearing
5,Prick Up Your Ears,Bess Houdini,Also Appearing
5,Prick Up Your Ears,Mel Gibson,Also Appearing
5,Prick Up Your Ears,Liam Neeson,Also Appearing
5,Prick Up Your Ears,Dianne Wiest,Also Appearing
5,Prick Up Your Ears,Pablo Picasso,Also Appearing
5,Prick Up Your Ears,Jerry Kirkwood,Also Appearing
5,Prick Up Your Ears,Doug,Also Appearing
5,Prick Up Your Ears,Principal Shepherd,Also Appearing
5,Prick Up Your Ears,Britney Spears,Also Appearing
5,Prick Up Your Ears,Michael Jackson,Also Appearing
5,Prick Up Your Ears,Herbert,Also Appearing
5,Prick Up Your Ears,Kool-Aid Man,Also Appearing
5,Prick Up Your Ears,Evil Monkey,Also Appearing
5,Chick Cancer,Meg Griffin,Also Appearing
5,Chick Cancer,Chris Griffin,Also Appearing
5,Chick Cancer,Brian Griffin,Also Appearing
5,Chick Cancer,Jillian Russell,Also Appearing
5,Chick Cancer,Rupert,Also Appearing
5,Chick Cancer,Joe Swanson,Also Appearing
5,Chick Cancer,Bonnie Swanson,Also Appearing
5,Chick Cancer,Quagmire,Also Appearing
5,Chick Cancer,Cleveland Brown,Also Appearing
5,Chick Cancer,Luke Skywalker,Also Appearing
5,Chick Cancer,Mort Goldman,Also Appearing
5,Chick Cancer,Mayor Adam West,Also Appearing
5,Chick Cancer,Q*bert,Also Appearing
5,Chick Cancer,Chester Cheetah,Also Appearing
5,Chick Cancer,Fouad,Also Appearing
5,Chick Cancer,Victor,Also Appearing
5,Chick Cancer,Sassy,Also Appearing
5,Chick Cancer,Chuck Berry,Also Appearing
5,Chick Cancer,Sandra Oh,Also Appearing
5,Chick Cancer,Howard Hesseman,Also Appearing
5,Chick Cancer,Richard Gere,Also Appearing
5,Barely Legal,Peter Griffin,Also Appearing
5,Barely Legal,Stewie Griffin,Also Appearing
5,Barely Legal,Lois Griffin,Also Appearing
5,Barely Legal,Chris Griffin,Also Appearing
5,Barely Legal,Jillian,Also Appearing
5,Barely Legal,Mayor Adam West,Also Appearing
5,Barely Legal,Joe Swanson,Also Appearing
5,Barely Legal,Quagmire,Also Appearing
5,Barely Legal,Cleveland Brown,Also Appearing
5,Barely Legal,Mort Goldman,Also Appearing
5,Barely Legal,Herbert,Also Appearing
5,Barely Legal,Opie,Also Appearing
5,Barely Legal,Connie DiMico,Also Appearing
5,Barely Legal,Tricia Takanawa,Also Appearing
5,Barely Legal,Bruce,Also Appearing
5,Barely Legal,Garrett Morris,Also Appearing
5,Barely Legal,Jimmy,Also Appearing
5,Barely Legal,Allison Janney,Also Appearing
5,Barely Legal,Michael Douglas,Also Appearing
5,Barely Legal,Kathleen Turner,Also Appearing
5,Barely Legal,Emperor Palpatine,Also Appearing
5,Barely Legal,Darth Vader,Also Appearing
5,Barely Legal,Esther,Also Appearing
5,Barely Legal,Ruth,Also Appearing
5,Barely Legal,Patty,Also Appearing
5,Barely Legal,Beth,Also Appearing
5,Road to Rupert,Lois Griffin,Also Appearing
5,Road to Rupert,Chris Griffin,Also Appearing
5,Road to Rupert,Herbert,Also Appearing
5,Road to Rupert,Joe Swanson,Also Appearing
5,Road to Rupert,Cleveland Brown,Also Appearing
5,Road to Rupert,Quagmire,Also Appearing
5,Road to Rupert,Mayor Adam West,Also Appearing
5,Road to Rupert,Stanford Cordray,Also Appearing
5,Road to Rupert,Timmy Cordray,Also Appearing
5,Road to Rupert,Gene Kelly,Also Appearing
5,Road to Rupert,Norm Peterson,Also Appearing
5,Road to Rupert,Woody Boyd,Also Appearing
5,Road to Rupert,Cliff Clavin,Also Appearing
5,Road to Rupert,Emmanuel Lewis,Also Appearing
5,Road to Rupert,Sharon Stone,Also Appearing
5,Road to Rupert,Pat Robertson,Also Appearing
5,Road to Rupert,Jerry Falwell,Also Appearing
5,Road to Rupert,Burt Reynolds,Also Appearing
5,Road to Rupert,Sally Field,Also Appearing
5,Road to Rupert,Billy Dee Williams,Also Appearing
5,Road to Rupert,Chrone,Also Appearing
5,Road to Rupert,SpongeBob SquarePants,Also Appearing
5,Road to Rupert,Patrick Star,Also Appearing
5,Road to Rupert,Frasier Crane,Also Appearing
5,Road to Rupert,Pebbles Flintstone,Also Appearing
5,Road to Rupert,Bamm-Bamm Rubble,Also Appearing
5,Road to Rupert,Dr. McCoy,Also Appearing
5,Peter's Two Dads,Chris Griffin,Also Appearing
5,Peter's Two Dads,O'Brian,Also Appearing
5,Peter's Two Dads,Herbert,Also Appearing
5,Peter's Two Dads,Bruce,Also Appearing
5,Peter's Two Dads,Francis,Also Appearing
5,Peter's Two Dads,Quagmire,Also Appearing
5,Peter's Two Dads,Cleveland Brown,Also Appearing
5,Peter's Two Dads,Joe Swanson,Also Appearing
5,Peter's Two Dads,Bonnie Swanson,Also Appearing
5,Peter's Two Dads,Kevin,Also Appearing
5,Peter's Two Dads,Dr. Hartman,Also Appearing
5,Peter's Two Dads,Thelma,Also Appearing
5,Peter's Two Dads,Beth,Also Appearing
5,Peter's Two Dads,Ruth,Also Appearing
5,Peter's Two Dads,Robert Loggia,Also Appearing
5,Peter's Two Dads,Mother Teresa,Also Appearing
5,Peter's Two Dads,Ben Affleck,Also Appearing
5,Peter's Two Dads,Sarah Jessica Parker,Also Appearing
5,Peter's Two Dads,Matthew McConaughey Yoda,Also Appearing
5,Peter's Two Dads,Obi-Wan Kenobi,Also Appearing
5,Peter's Two Dads,Hayden Christensen,Also Appearing
5,Peter's Two Dads,Patty,Also Appearing
5,Peter's Two Dads,Esther,Also Appearing
5,The Tan Aquatic with Steve Zissou,Cleveland Brown,Also Appearing
5,The Tan Aquatic with Steve Zissou,Joe Swanson,Also Appearing
5,The Tan Aquatic with Steve Zissou,Quagmire,Also Appearing
5,The Tan Aquatic with Steve Zissou,Meg Griffin,Also Appearing
5,The Tan Aquatic with Steve Zissou,Lois Griffin,Also Appearing
5,The Tan Aquatic with Steve Zissou,Herbert,Also Appearing
5,The Tan Aquatic with Steve Zissou,Kyle,Also Appearing
5,The Tan Aquatic with Steve Zissou,Randy Fulcher,Also Appearing
5,The Tan Aquatic with Steve Zissou,Britney Spears,Also Appearing
5,The Tan Aquatic with Steve Zissou,Mr. Furley,Also Appearing
5,The Tan Aquatic with Steve Zissou,Fran Drescher,Also Appearing
5,The Tan Aquatic with Steve Zissou,Martin Landau,Also Appearing
5,The Tan Aquatic with Steve Zissou,Turn of the Century Take on all Comers Griffin,Also Appearing
5,The Tan Aquatic with Steve Zissou,Terry the Tiger,Also Appearing
5,The Tan Aquatic with Steve Zissou,Devon,Also Appearing
5,The Tan Aquatic with Steve Zissou,Dick Cheney,Also Appearing
5,The Tan Aquatic with Steve Zissou,Kermit the Frog,Also Appearing
5,The Tan Aquatic with Steve Zissou,Swedish Chef,Also Appearing
5,The Tan Aquatic with Steve Zissou,Fozzie Bear,Also Appearing
5,Airport '07,Lois Griffin,Also Appearing
5,Airport '07,Brian Griffin,Also Appearing
5,Airport '07,Meg Griffin,Also Appearing
5,Airport '07,Stewie Griffin,Also Appearing
5,Airport '07,Chris Griffin,Also Appearing
5,Airport '07,Hugh Hefner,Also Appearing
5,Airport '07,Carl Sagan,Also Appearing
5,Airport '07,Marlee Matlin,Also Appearing
5,Airport '07,Sandy,Also Appearing
5,Airport '07,Herbert,Also Appearing
5,Airport '07,Mayor Adam West,Also Appearing
5,Airport '07,Stink Fleaman,Also Appearing
5,Airport '07,Mike Drunkbeater,Also Appearing
5,Airport '07,Walt Abernathy,Also Appearing
5,Airport '07,Larry,Also Appearing
5,Airport '07,Tom Tucker,Also Appearing
5,Airport '07,Diane Simmons,Also Appearing
5,Airport '07,Nien Nunb,Also Appearing
5,Airport '07,Queen Latifah,Also Appearing
5,Airport '07,Ollie Williams,Also Appearing
5,Airport '07,Paris Hilton,Also Appearing
5,Bill & Peter's Bogus Journey,Brian Griffin,Also Appearing
5,Bill & Peter's Bogus Journey,Meg Griffin,Also Appearing
5,Bill & Peter's Bogus Journey,Stewie Griffin,Also Appearing
5,Bill & Peter's Bogus Journey,Chris Griffin,Also Appearing
5,Bill & Peter's Bogus Journey,Quagmire,Also Appearing
5,Bill & Peter's Bogus Journey,Cleveland Brown,Also Appearing
5,Bill & Peter's Bogus Journey,Joe Swanson,Also Appearing
5,Bill & Peter's Bogus Journey,Mayor Adam West,Also Appearing
5,Bill & Peter's Bogus Journey,Barbara Pewterschmidt,Also Appearing
5,Bill & Peter's Bogus Journey,Carter Pewterschmidt,Also Appearing
5,Bill & Peter's Bogus Journey,Herbert,Also Appearing
5,Bill & Peter's Bogus Journey,Jesse,Also Appearing
5,Bill & Peter's Bogus Journey,Seamus,Also Appearing
5,Bill & Peter's Bogus Journey,Ol' Woody,Also Appearing
5,Bill & Peter's Bogus Journey,Roy Scheider Conway Twitty,Also Appearing
5,Bill & Peter's Bogus Journey,Phineas & Barnaby,Also Appearing
5,Bill & Peter's Bogus Journey,Hungry Hank,Also Appearing
